cwe_id,cwe_name,description,extended_description,url,is_category,bad_code
cwe-1110,incomplete design documentation,"the product's design documentation does not adequately describe
					control flow, data flow, system initialization, relationships between tasks,
					components, rationales, or other important aspects of the
					design.","
            
         
         ",https://cwe.mitre.org/data/definitions/1110.html,FALSE,missing
cwe-1111,incomplete i/o documentation,"the product's documentation does not adequately define inputs,
					outputs, or system/software interfaces.","
            
         
         ",https://cwe.mitre.org/data/definitions/1111.html,FALSE,missing
cwe-1112,incomplete documentation of program execution,"the document does not fully define all mechanisms that are used
					to control or influence how product-specific programs are
					executed.","this includes environmental variables, configuration files, registry keys, command-line switches or options, or system settings.
         ",https://cwe.mitre.org/data/definitions/1112.html,FALSE,missing
cwe-1113,inappropriate comment style,"the source code uses comment styles or formats that are
					inconsistent or do not follow expected standards for the
					product.","this issue makes it more difficult to maintain the product due to insufficient legibility, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  it also might make it easier to introduce vulnerabilities.
         ",https://cwe.mitre.org/data/definitions/1113.html,FALSE,missing
cwe-1114,inappropriate whitespace style,"the source code contains whitespace that is inconsistent across
					the code or does not follow expected standards for the
					product.","this issue makes it more difficult to understand and maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  it also might make it easier to introduce vulnerabilities.
         ",https://cwe.mitre.org/data/definitions/1114.html,FALSE,missing
cwe-1115,source code element without standard prologue,"the source code contains elements such as source files 
					that do not consistently provide a prologue or header that has been
					standardized for the project.","the lack of a prologue can make it more difficult to accurately and quickly understand the associated code. standard prologues or headers may contain information such as module name, version number, author, date, purpose, function, assumptions, limitations, accuracy considerations, etc.
this issue makes it more difficult to maintain the product due to insufficient analyzability, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  it also might make it easier to introduce vulnerabilities.
         ",https://cwe.mitre.org/data/definitions/1115.html,FALSE,missing
cwe-1116,inaccurate comments,"the source code contains comments that do not accurately
					describe or explain aspects of the portion of the code with which the comment is
					associated.","when a comment does not accurately reflect the associated code elements, this can introduce confusion to a reviewer (due to inconsistencies) or make it more difficult and less efficient to validate that the code is implementing the intended behavior correctly.
this issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  it also might make it easier to introduce vulnerabilities.
         ",https://cwe.mitre.org/data/definitions/1116.html,FALSE, language:javapublic class main {public static void main(string[] args) {int pt_weight = 83;int mg_per_kg = 3;int daily_dose = 0;// add the patient weight and mg/kg to calculate the correct daily dosedaily_dose = pt_weight * mg_per_kg;return dosage;}}
cwe-1117,callable with insufficient behavioral summary,"the code contains a function or method whose signature and/or associated
					inline documentation does not sufficiently describe the callable's inputs, outputs,
					side effects, assumptions, or return codes.","this issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  it also might make it easier to introduce vulnerabilities.
         ",https://cwe.mitre.org/data/definitions/1117.html,FALSE,missing
cwe-1118,insufficient documentation of error handling techniques,"the documentation does not sufficiently describe the techniques
					that are used for error handling, exception processing, or similar
					mechanisms.","documentation may need to cover error handling techniques at multiple layers, such as module, executable, compilable code unit, or callable.
         ",https://cwe.mitre.org/data/definitions/1118.html,FALSE,missing
cwe-1119,excessive use of unconditional branching,"the code uses too many unconditional branches (such as
					""goto"").","this issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  it also might make it easier to introduce vulnerabilities.
         ",https://cwe.mitre.org/data/definitions/1119.html,FALSE,missing
cwe-112,missing xml validation,the product accepts xml from an untrusted source but does not validate the xml against the proper schema.,"most successful attacks begin with a violation of the programmer's assumptions. by accepting an xml document without validating it against a dtd or xml schema, the programmer leaves a door open for attackers to provide unexpected, unreasonable, or malicious input.
         ",https://cwe.mitre.org/data/definitions/112.html,FALSE, language:java// read domtry {...documentbuilderfactory factory = documentbuilderfactory.newinstance();factory.setvalidating( false );....c_dom = factory.newdocumentbuilder().parse( xmlfile );} catch(exception ex) {...}
cwe-1120,excessive code complexity,"the code is too complex, as calculated using a well-defined,
					quantitative measure.","this issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  it also might make it easier to introduce vulnerabilities.
this issue can make the product perform more slowly.  if the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.
         ",https://cwe.mitre.org/data/definitions/1120.html,FALSE,missing
cwe-1121,excessive mccabe cyclomatic complexity,"the code contains mccabe cyclomatic complexity that exceeds a
	desirable maximum.","this issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  it also might make it easier to introduce vulnerabilities.
         ",https://cwe.mitre.org/data/definitions/1121.html,FALSE,missing
cwe-1122,excessive halstead complexity,"the code is structured in a way that a halstead complexity
					measure exceeds a desirable maximum.","a variety of halstead complexity measures exist, such as program vocabulary size or volume.
this issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  it also might make it easier to introduce vulnerabilities.
         ",https://cwe.mitre.org/data/definitions/1122.html,FALSE,missing
cwe-1123,excessive use of self-modifying code,"the product uses too much self-modifying
					code.","this issue makes it more difficult to understand or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  it also might make it easier to introduce vulnerabilities.
         ",https://cwe.mitre.org/data/definitions/1123.html,FALSE,missing
cwe-1124,excessively deep nesting,"the code contains a callable or other code grouping in which
					the nesting / branching is too deep.","this issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  it also might make it easier to introduce vulnerabilities.
         ",https://cwe.mitre.org/data/definitions/1124.html,FALSE,missing
cwe-1125,excessive attack surface,"the product has an attack surface whose quantitative
					measurement exceeds a desirable maximum.","originating from software security, an ""attack surface"" measure typically reflects the number of input points and output points that can be utilized by an untrusted party, i.e. a potential attacker. a larger attack surface provides more places to attack, and more opportunities for developers to introduce weaknesses.  in some cases, this measure may reflect other aspects of quality besides security; e.g., a product with many inputs and outputs may require a large number of tests in order to improve code coverage.
         ",https://cwe.mitre.org/data/definitions/1125.html,FALSE,missing
cwe-1126,declaration of variable with unnecessarily wide scope,"the source code declares a variable in one scope, but the
					variable is only used within a narrower scope.","this issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  it also might make it easier to introduce vulnerabilities.
         ",https://cwe.mitre.org/data/definitions/1126.html,FALSE,missing
cwe-1127,compilation with insufficient warnings or errors,"the code is compiled without sufficient warnings enabled, which
					may prevent the detection of subtle bugs or quality
					issues.","this issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  it also might make it easier to introduce vulnerabilities.
         ",https://cwe.mitre.org/data/definitions/1127.html,FALSE,missing
cwe-113,improper neutralization of crlf sequences in http headers ('http request/response splitting'),"the product receives data from an http agent/component (e.g., web server, proxy, browser, etc.), but it does not neutralize or incorrectly neutralizes cr and lf characters before the data is included in outgoing http headers.","
	   
	     http agents or components may include a web server, load balancer, reverse proxy, web caching proxy, application firewall, web browser, etc. regardless of the role, they are expected to maintain coherent, consistent http communication state across all components. however, including unexpected data in an http header allows an attacker to specify the entirety of the http message that is rendered by the client http agent (e.g., web browser) or back-end http agent (e.g., web server), whether the message is part of a request or a response.
	   
            when an http request contains unexpected cr and lf characters, the server may respond with an output stream that is interpreted as ""splitting"" the stream into two different http messages instead of one. cr is carriage return, also given by %0d or \r, and lf is line feed, also given by %0a or \n.
	    in addition to cr and lf characters, other valid/rfc compliant special characters and unique character encodings can be utilized, such as ht (horizontal tab, also given by %09 or \t) and sp (space, also given as + sign or %20).
	    these types of unvalidated and unexpected data in http message headers allow an attacker to control the second ""split"" message to mount attacks such as server-side request forgery, cross-site scripting, and cache poisoning attacks.
            http response splitting weaknesses may be present when:
               
                  data enters a web application through an untrusted source, most frequently an http request.
                  the data is included in an http response header sent to a web user without neutralizing malicious characters that can be interpreted as separator characters for headers.
               
         
         ",https://cwe.mitre.org/data/definitions/113.html,FALSE," language:javastring author = request.getparameter(author_param);...cookie cookie = new cookie(""author"", author);cookie.setmaxage(cookieexpiration);response.addcookie(cookie);"
cwe-114,process control,executing commands or loading libraries from an untrusted source or in an untrusted environment can cause an application to execute malicious commands (and payloads) on behalf of an attacker.,"process control vulnerabilities take two forms:
	 
	   an attacker can change the command that the program executes: the attacker explicitly controls what the command is.
	   an attacker can change the environment in which the command executes: the attacker implicitly controls what the command means.
	 
	 process control vulnerabilities of the first type occur when either data enters the application from an untrusted source and the data is used as part of a string representing a command that is executed by the application. by executing the command, the application gives an attacker a privilege or capability that the attacker would not otherwise have.
	 
         ",https://cwe.mitre.org/data/definitions/114.html,FALSE," language:java...system.loadlibrary(""library.dll"");..."
cwe-115,misinterpretation of input,"the product misinterprets an input, whether from an attacker or another product, in a security-relevant fashion.","
            
         
         ",https://cwe.mitre.org/data/definitions/115.html,FALSE,missing
cwe-116,improper encoding or escaping of output,"the product prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. as a result, the intended structure of the message is not preserved.","
            improper encoding or escaping can allow attackers to change the commands that are sent to another component, inserting malicious commands instead.
            most products follow a certain protocol that uses structured messages for communication between components, such as queries or commands. these structured messages can contain raw data interspersed with metadata or control information. for example, ""get /index.html http/1.1"" is a structured message containing a command (""get"") with a single argument (""/index.html"") and metadata about which protocol version is being used (""http/1.1"").
            if an application uses attacker-supplied inputs to construct a structured message without properly encoding or escaping, then the attacker could insert special characters that will cause the data to be interpreted as control information or metadata. consequently, the component that receives the output will perform the wrong operations, or otherwise interpret the data incorrectly.
         
         ",https://cwe.mitre.org/data/definitions/116.html,FALSE," language:jsp<% string email = request.getparameter(""email""); %>...email address: <%= email %>"
cwe-1164,irrelevant code,"the product contains code that is not essential for execution,
	     i.e. makes no state changes and has no side effects that alter
	     data or control flow, such that removal of the code would have no impact
	     to functionality or correctness.","irrelevant code could include dead code,
	     initialization that is not used, empty blocks, code that could be entirely
	     removed due to optimization, etc.
	 
         ",https://cwe.mitre.org/data/definitions/1164.html,FALSE," language:c++string s = null;if (b) {s = ""yes"";return;}if (s != null) {dead();}"
cwe-1173,improper use of validation framework,"the product does not use, or incorrectly uses, an input validation framework that is provided by the source language or an independent library.","many modern coding languages provide developers with input validation frameworks to make the task of input validation easier and less error-prone. these frameworks will automatically check all input against specified criteria and direct execution to error handlers when invalid input is received. the improper use (i.e., an incorrect implementation or missing altogether) of these frameworks is not directly exploitable, but can lead to an exploitable condition if proper input validation is not performed later in the product. not using provided input validation frameworks can also hurt the maintainability of code as future developers may not recognize the downstream input validation being used in the place of the validation framework.
         ",https://cwe.mitre.org/data/definitions/1173.html,FALSE,missing
cwe-1174,asp.net misconfiguration: improper model validation,"the asp.net application does not use, or incorrectly uses, the model validation framework.","
            
         
         ",https://cwe.mitre.org/data/definitions/1174.html,FALSE,missing
cwe-1176,inefficient cpu computation,"the product performs cpu computations using
         algorithms that are not as efficient as they could be for the
         needs of the developer, i.e., the computations can be
         optimized further.","this issue can make the product perform more slowly, possibly in ways that are noticeable to the users.  if an attacker can influence the amount of computation that must be performed, e.g. by triggering worst-case complexity, then this performance problem might introduce a vulnerability.
	 
         ",https://cwe.mitre.org/data/definitions/1176.html,FALSE,missing
cwe-1177,use of prohibited code,"the product uses a function, library, or third party component
	     that has been explicitly prohibited, whether by the developer or
	     the customer.","the developer - or customers - may wish to restrict or eliminate use of a function, library, or third party component for any number of reasons, including real or suspected vulnerabilities; difficulty to use securely; export controls or license requirements; obsolete or poorly-maintained code; internal code being scheduled for deprecation; etc.
	 to reduce risk of vulnerabilities, the developer might maintain a list of ""banned"" functions that programmers must avoid using because the functions are difficult or impossible to use securely.  this issue can also make the product more costly and difficult to maintain.
	 
         ",https://cwe.mitre.org/data/definitions/1177.html,FALSE," language:cchar buf[24];printf(""please enter your name and press <enter>\n"");gets(buf);...}"
cwe-118,incorrect access of indexable resource ('range error'),"the product does not restrict or incorrectly restricts operations within the boundaries of a resource that is accessed using an index or pointer, such as memory or files.","
            
         
         ",https://cwe.mitre.org/data/definitions/118.html,FALSE,missing
cwe-1187,deprecated: use of uninitialized resource,this entry has been deprecated because it was a duplicate of cwe-908. all content has been transferred to cwe-908.,"
            prohibited
            this cwe has been deprecated.
            see description and name for possible suggestions of other cwes to consider.
            
               
            
         
         ",https://cwe.mitre.org/data/definitions/1187.html,FALSE,missing
cwe-1188,initialization of a resource with an insecure default,"the product initializes or sets a resource with a default that is intended to be changed by the administrator, but the default is not secure.","developers often choose default values that leave the product as open and easy to use as possible out-of-the-box, under the assumption that the administrator can (or should) change the default value.  however, this ease-of-use comes at a cost when the default is insecure and the administrator does not change it.
	 
         ",https://cwe.mitre.org/data/definitions/1188.html,FALSE," language:php// $user and $pass automatically set from post requestif (login_user($user,$pass)) {$authorized = true;}...if ($authorized) {generatepage();}"
cwe-1189,improper isolation of shared resources on system-on-a-chip (soc),the system-on-a-chip (soc) does not properly isolate shared resources between trusted and untrusted agents.,"
            a system-on-a-chip (soc) has a lot of functionality, but it may have a limited number of pins or pads. a pin can only perform one function at a time. however, it can be configured to perform multiple different functions. this technique is called pin multiplexing. similarly, several resources on the chip may be shared to multiplex and support different features or functions. when such resources are shared between trusted and untrusted agents, untrusted agents may be able to access the assets intended to be accessed only by the trusted agents.
         
         ",https://cwe.mitre.org/data/definitions/1189.html,FALSE,missing
cwe-1190,dma device enabled too early in boot phase,"the product enables a direct memory access (dma) capable device before the security configuration settings are established, which allows an attacker to extract data from or gain privileges on the product.","
            dma is included in a number of devices because it allows
              data transfer between the computer and the connected device, using
              direct hardware access to read or write directly to main memory
              without any os interaction. an attacker could exploit this to
              access secrets. several virtualization-based mitigations have been introduced to thwart dma attacks. these are usually
              configured/setup during boot time. however, certain ips that are
              powered up before boot is complete (known as early boot ips) may
              be dma capable. such ips, if not trusted, could launch dma
              attacks and gain access to assets that should otherwise be
              protected.
         
         ",https://cwe.mitre.org/data/definitions/1190.html,FALSE,missing
cwe-1191,on-chip debug and test interface with improper access control,the chip does not implement or does not correctly perform access control to check whether users are authorized to access internal registers and test modes through the physical debug/test interface.,"
      a device's internal information may be accessed through a scan chain of interconnected internal registers, usually through a jtag interface. the jtag interface provides access to these registers in a serial fashion in the form of a scan chain for the purposes of debugging programs running on a device. since almost all information contained within a device may be accessed over this interface, device manufacturers typically insert some form of authentication and authorization to prevent unintended use of this sensitive information. this mechanism is implemented in addition to on-chip protections that are already present.
      if authorization, authentication, or some other form of access control is not implemented or not implemented correctly, a user may be able to bypass on-chip protection mechanisms through the debug interface.
      sometimes, designers choose not to expose the debug pins on the motherboard. instead, they choose to hide these pins in the intermediate layers of the board. this is primarily done to work around the lack of debug authorization inside the chip. in such a scenario (without debug authorization), when the debug interface is exposed, chip internals are accessible to an attacker.
     
     ",https://cwe.mitre.org/data/definitions/1191.html,FALSE," language:otherif the jtag interface on this device is not hidden by the manufacturer, the interface may be identified using tools such as jtagulator. if it is hidden but not disabled, it can be exposed by physically wiring to the board.by issuing a ""halt"" command before the os starts, the unauthorized user pauses the watchdog timer and prevents the router from restarting (once the watchdog timer would have expired). having paused the router, an unauthorized user is able to execute code and inspect and modify data in the device, even extracting all of the router's firmware. this allows the user to examine the router and potentially exploit it."
cwe-1192,improper identifier for ip block used in system-on-chip (soc),"the system-on-chip (soc) does not have unique, immutable identifiers for each of its components.","
	   a system-on-chip (soc) comprises several components (ip) with varied
           trust requirements. it is required that each ip is identified
           uniquely and should distinguish itself from other entities in
           the soc without any ambiguity. the unique secured identity is
           required for various purposes. most of the time the identity is used
           to route a transaction or perform certain actions, including 
           resetting, retrieving a sensitive information, and acting upon or on
           behalf of something else.
           there are several variants of this weakness:
            
	      a ""missing"" identifier is when the soc does not define
	      any mechanism to uniquely identify the ip.
	      an ""insufficient"" identifier might provide
	      some defenses - for example, against the most common
	      attacks - but it does not protect against everything
	      that is intended.
	      a ""misconfigured"" mechanism occurs when a mechanism
              is available but not implemented correctly.
	      an ""ignored"" identifier occurs when the soc/ip has not applied
	      any policies or does not act upon the identifier securely.
            
         
          ",https://cwe.mitre.org/data/definitions/1192.html,FALSE,missing
cwe-1193,power-on of untrusted execution core before enabling fabric access control,the product enables components that contain untrusted firmware before memory and fabric access controls have been enabled.,"
	  
	   after initial reset, system-on-chip (soc) fabric access controls and other
           security features need to be programmed by trusted firmware as part
           of the boot sequence. if untrusted ips or peripheral microcontrollers
	   are enabled first, then the untrusted component can master
           transactions on the hardware bus and target memory or other assets to
           compromise the soc boot firmware.
         ",https://cwe.mitre.org/data/definitions/1193.html,FALSE,missing
cwe-1204,generation of weak initialization vector (iv),"the product uses a cryptographic primitive that uses an initialization
			vector (iv), but the product does not generate ivs that are
			sufficiently unpredictable or unique according to the expected
			cryptographic requirements for that primitive.
			","
			  by design, some cryptographic primitives
			  (such as block ciphers) require that ivs
			  must have certain properties for the
			  uniqueness and/or unpredictability of an
			  iv. primitives may vary in how important
			  these properties are. if these properties
			  are not maintained, e.g. by a bug in the
			  code, then the cryptography may be weakened
			  or broken by attacking the ivs themselves.
			
			",https://cwe.mitre.org/data/definitions/1204.html,FALSE," language:cevp_cipher_ctx ctx;char key[evp_max_key_length];char iv[evp_max_iv_length];rand_bytes(key, b);memset(iv,0,evp_max_iv_length);evp_encryptinit(&ctx,evp_bf_cbc(), key,iv);"
cwe-1209,failure to disable reserved bits,"the reserved bits in a hardware design are not disabled prior to production. typically, reserved bits are used for future capabilities and should not support any functional logic in the design.   however, designers might covertly use these bits to debug or further develop new capabilities in production hardware. adversaries with access to these bits will write to them in hopes of compromising hardware state.","
                reserved bits are labeled as such so they can be allocated for a later purpose. they are not to do anything in the current design.  however, designers might want to use these bits to debug or control/configure a future capability to help minimize time to market (ttm). if the logic being controlled by these bits is still enabled in production, an adversary could use the logic to induce unwanted/unsupported behavior in the hardware.
            
         ",https://cwe.mitre.org/data/definitions/1209.html,FALSE, language:verilogreg gpio_out = 0;  //gpio should remain low for normal operationcase (register_address)4'b1111 : //0x0fbegingpio_out = 1;end
cwe-121,stack-based buffer overflow,"a stack-based buffer overflow condition is a condition where the buffer being overwritten is allocated on the stack (i.e., is a local variable or, rarely, a parameter to a function).","
            
            
         
         ",https://cwe.mitre.org/data/definitions/121.html,FALSE," language:c#define bufsize 256int main(int argc, char **argv) {char buf[bufsize];strcpy(buf, argv[1]);}"
cwe-122,heap-based buffer overflow,"a heap overflow condition is a buffer overflow, where the buffer that can be overwritten is allocated in the heap portion of memory, generally meaning that the buffer was allocated using a routine such as malloc().","
            
            
         
         ",https://cwe.mitre.org/data/definitions/122.html,FALSE," language:c#define bufsize 256int main(int argc, char **argv) {char *buf;buf = (char *)malloc(sizeof(char)*bufsize);strcpy(buf, argv[1]);}"
cwe-1220,insufficient granularity of access control,"the product implements access controls via a policy or other feature with the intention to disable or restrict accesses (reads and/or writes) to assets in a system from untrusted agents. however, implemented access controls lack required granularity, which renders the control policy too broad because it allows accesses from unauthorized agents to the security-sensitive assets.","
                integrated circuits and hardware engines can expose accesses to assets (device configuration, keys, etc.) to trusted firmware or a software module (commonly set by bios/bootloader). this access is typically access-controlled. upon a power reset, the hardware or system usually starts with default values in registers, and the trusted firmware (boot firmware) configures the necessary access-control protection.
                a common weakness that can exist in such protection schemes is that access controls or policies are not granular enough. this condition allows agents beyond trusted agents to access assets and could lead to a loss of functionality or the ability to set up the device securely. this further results in security risks from leaked, sensitive, key material to modification of device configuration.
            
			",https://cwe.mitre.org/data/definitions/1220.html,FALSE," language:otherregisterfield descriptionaes_enc_dec_key_0aes key [0:31] for encryption or decryptiondefault 0x00000000aes_enc_dec_key_1aes key [32:63] for encryption or decryptiondefault 0x00000000aes_enc_dec_key_2aes key [64:95] for encryption or decryptiondefault 0x00000000aes_enc_dec_key_4aes key [96:127] for encryption or decryptiondefault 0x00000000aes_key_read_write_policy[31:0] default 0x00000006 - meaning agent with identities ""1"" and ""2"" can both read from and write to key registers"
cwe-1221,incorrect register defaults or module parameters,hardware description language code incorrectly defines register defaults or hardware intellectual property (ip) parameters to insecure values.,"
                integrated circuits and hardware ip software programmable controls and settings are commonly stored in register circuits. these register contents have to be initialized at hardware reset to defined default values that are hard coded in the hardware description language (hdl) code of the hardware unit. hardware descriptive languages also support definition of parameter variables, which can be defined in code during instantiation of the hardware ip module. such parameters are generally used to configure a specific instance of a hardware ip in the design.
                the system security settings of a hardware design can be affected by incorrectly defined default values or ip parameters. the hardware ip would be in an insecure state at power reset, and this can be exposed or exploited by untrusted software running on the system. both register defaults and parameters are hardcoded values, which cannot be changed using software or firmware patches but must be changed in hardware silicon. thus, such security issues are considerably more difficult to address later in the lifecycle. hardware designs can have a large number of such parameters and register defaults settings, and it is important to have design tool support to check these settings in an automated way and be able to identify which settings are security sensitive.
            
			",https://cwe.mitre.org/data/definitions/1221.html,FALSE," language:verilog// parameterized register module example// secure_mode : register_default[0] : when set to 1 register is read only and not writable//module register_example#(parameter register_width = 8, // parameter defines width of register, default 8 bitsparameter [register_width-1:0] register_default = 2**register_width -2 // default value of register computed from width. sets all bits to 1s except bit 0 (secure _mode))(input [register_width-1:0] data_in,input clk,input resetn,input write,output reg [register_width-1:0] data_out);reg secure_mode;always @(posedge clk or negedge resetn)if (~resetn)begindata_out <= register_default; // register content set to default at resetsecure_mode <= register_default[0]; // register secure_mode set at resetendelse if (write & ~secure_mode)begindata_out <= data_in;endendmodulemodule register_top(input clk,input resetn,input write,input [31:0] data_in,output reg [31:0] secure_reg,output reg [31:0] insecure_reg);register_example #(.register_width (32),.register_default (1224) // incorrect default value used bit 0 is 0.) insecure_device_id_1 (.data_in (data_in),.data_out (secure_reg),.clk (clk),.resetn (resetn),.write (write));register_example #(.register_width (32) // default not defined 2^32-2 value will be used as default.) insecure_device_id_2 (.data_in (data_in),.data_out (insecure_reg),.clk (clk),.resetn (resetn),.write (write));endmodule"
cwe-1222,insufficient granularity of address regions protected by register locks,the product defines a large address region protected from modification by the same register lock control bit. this results in a conflict between the functional requirement that some addresses need to be writable by software during operation and the security requirement that the system configuration lock bit must be set during the boot process.,"
                integrated circuits and hardware ips can expose the device configuration controls that need to be programmed after device power reset by a trusted firmware or software module (commonly set by bios/bootloader) and then locked from any further modification. in hardware design, this is commonly implemented using a programmable lock bit which enables/disables writing to a protected set of registers or address regions. when the programmable lock bit is set, the relevant address region can be implemented as a hardcoded value in hardware logic that cannot be changed later.
                a problem can arise wherein the protected region definition is not granular enough. after the programmable lock bit has been set, then this new functionality cannot be implemented without change to the hardware design.
            
			",https://cwe.mitre.org/data/definitions/1222.html,FALSE," language:otheraddressregister0x0000sys_lock: 32 bit system configuration lock register, each bit is write-1-once0x0004security_feature_enable: 32 bit register controlling enabling of security features...0x0310sw_mode: 32 bit software mode indication registeraddress regionlock bit0x0000 - 0x03ffsys_lock[0]0x0400 - 0x07ffsys_lock[1]...0x7c00 - 0x7fffsys_lock[31]"
cwe-1223,race condition for write-once attributes,"a write-once register in hardware design is programmable by an untrusted software component earlier than the trusted software component, resulting in a race condition issue.","
                integrated circuits and hardware ip software programmable controls and settings are commonly stored in register circuits. these register contents have to be initialized at hardware reset to defined default values that are hard coded in the hardware description language (hdl) code of the hardware unit. a common security protection method used to protect register settings from modification by software is to make them write-once. this means the hardware implementation only allows writing to such registers once, and they become read-only after having been written once by software. this is useful to allow initial boot software to configure systems settings to secure values while blocking runtime software from modifying such hardware settings.
                implementation issues in hardware design of such controls can expose such registers to a race condition security flaw. for example, consider a hardware design that has two different software/firmware modules executing in parallel. one module is trusted (module a) and another is untrusted (module b). in this design it could be possible for module b to send write cycles to the write-once register before module a. since the field is write-once the programmed value from module a will be ignored and the pre-empted value programmed by module b will be used by hardware.
            
			",https://cwe.mitre.org/data/definitions/1223.html,FALSE," language:verilogmodule register_write_once_example(input [15:0] data_in,input clk,input ip_resetn,input global_resetn,input write,output reg [15:0] data_out);reg write_once_status;always @(posedge clk or negedge ip_resetn)if (~ip_resetn)begindata_out <= 16'h0000;write_once_status <= 1'b0;endelse if (write & ~write_once_status)begindata_out <= data_in & 16'hfffe; // input data written to register after masking bit 0write_once_status <= 1'b1; // write once status set after first write.endelse if (~write)begindata_out[15:1] <= data_out[15:1];data_out[0] <= write_once_status;endendmodule"
cwe-1224,improper restriction of write-once bit fields,"the hardware design control register ""sticky bits"" or write-once bit fields are improperly implemented, such that they can be reprogrammed by software.","
                integrated circuits and hardware ip software programmable controls and settings are commonly stored in register circuits. these register contents have to be initialized at hardware reset to define default values that are hard coded in the hardware description language (hdl) code of the hardware unit. a common security protection method used to protect register settings from modification by software is to make the settings write-once or ""sticky."" this allows writing to such registers only once, whereupon they become read-only. this is useful to allow initial boot software to configure systems settings to secure values while blocking runtime software from modifying such hardware settings.
                failure to implement write-once restrictions in hardware design can expose such registers to being re-programmed by software and written multiple times. for example, write-once fields could be implemented to only be write-protected if they have been set to value ""1"", wherein they would work as ""write-1-once"" and not ""write-once"".
            
			",https://cwe.mitre.org/data/definitions/1224.html,FALSE," language:verilogmodule register_write_once_example(input [15:0] data_in,input clk,input ip_resetn,input global_resetn,input write,output reg [15:0] data_out);reg write_once_status;always @(posedge clk or negedge ip_resetn)if (~ip_resetn)begindata_out <= 16'h0000;write_once_status <= 1'b0;endelse if (write & ~write_once_status)begindata_out <= data_in & 16'hfffe;write_once_status <= data_in[0]; // input bit 0 sets write_once_statusendelse if (~write)begindata_out[15:1] <= data_out[15:1];data_out[0] <= write_once_status;endendmodule"
cwe-1229,creation of emergent resource,"the product manages resources or behaves in a way that indirectly creates a new, distinct resource that can be used by attackers in violation of the intended policy.","
                a product is only expected to behave in a way that was specifically intended by the developer.  resource allocation and management is expected to be performed explicitly by the associated code.  however, in systems with complex behavior, the product might indirectly produce new kinds of resources that were never intended in the original design.  for example, a covert channel is a resource that was never explicitly intended by the developer, but it is useful to attackers.  ""parasitic computing,"" while not necessarily malicious in nature, effectively tricks a product into performing unintended computations on behalf of another party.
            
            ",https://cwe.mitre.org/data/definitions/1229.html,FALSE,missing
cwe-123,write-what-where condition,"any condition where the attacker has the ability to write an arbitrary value to an arbitrary location, often as the result of a buffer overflow.","
            
             
			 
         
         ",https://cwe.mitre.org/data/definitions/123.html,FALSE," language:c#define bufsize 256int main(int argc, char **argv) {char *buf1 = (char *) malloc(bufsize);char *buf2 = (char *) malloc(bufsize);strcpy(buf1, argv[1]);free(buf2);}"
cwe-1230,exposure of sensitive information through metadata,"the product prevents direct access to a resource containing sensitive information, but it does not sufficiently limit access to metadata that is derived from the original, sensitive information.","
			  developers might correctly prevent unauthorized access to a database or other resource containing sensitive information, but they might not consider that portions of the original information might also be recorded in metadata, search indices, statistical reports, or other resources.  if these resources are not also restricted, then attackers might be able to extract some or all of the original information, or otherwise infer some details.  for example, an attacker could specify search terms that are known to be unique to a particular person, or view metadata such as activity or creation dates in order to identify usage patterns.
            
            ",https://cwe.mitre.org/data/definitions/1230.html,FALSE,missing
